
Page: 6/15 | Game: 60/150 | Kept Games: 2\60 | Game Took: 00:00:00 | Page: Took: 00:00:18 | Total Elapsed: 00:01:29
Page: 7/15 | Game: 61/150 | Kept Games: 2\61 | Game Took: 00:00:00 | Page: Took: 00:00:05 | Total Elapsed: 00:01:35
Page: 7/15 | Game: 62/150 | Kept Games: 2\62 | Game Took: 00:00:00 | Page: Took: 00:00:06 | Total Elapsed: 00:01:36
Page: 7/15 | Game: 63/150 | Kept Games: 2\63 | Game Took: 00:00:00 | Page: Took: 00:00:07 | Total Elapsed: 00:01:37
Page: 7/15 | Game: 64/150 | Kept Games: 2\64 | Game Took: 00:00:00 | Page: Took: 00:00:07 | Total Elapsed: 00:01:37
Page: 7/15 | Game: 65/150 | Kept Games: 2\65 | Game Took: 00:00:00 | Page: Took: 00:00:08 | Total Elapsed: 00:01:38
Page: 7/15 | Game: 66/150 | Kept Games: 2\66 | Game Took: 00:00:00 | Page: Took: 00:00:09 | Total Elapsed: 00:01:39
Page: 7/15 | Game: 67/150 | Kept Games: 2\67 | Game Took: 00:00:00 | Page: Took: 00:00:10 | Total Elapsed: 00:01:40
Page: 7/15 | Game: 68/150 | Kept Games: 2\68 | Game Took: 00:00:00 | Page: Took: 00:00:11 | Total Elapsed: 00:01:40
Page: 7/15 | Game: 69/150 | Kept Games: 2\69 | Game Took: 00:00:00 | Page: Took: 00:00:11 | Total Elapsed: 00:01:41
Page: 7/15 | Game: 70/150 | Kept Games: 3\70 | Game Took: 00:00:01 | Page: Took: 00:00:13 | Total Elapsed: 00:01:43
Page: 8/15 | Game: 71/150 | Kept Games: 3\71 | Game Took: 00:00:00 | Page: Took: 00:00:05 | Total Elapsed: 00:01:48
Page: 8/15 | Game: 72/150 | Kept Games: 3\72 | Game Took: 00:00:00 | Page: Took: 00:00:06 | Total Elapsed: 00:01:49
Page: 8/15 | Game: 73/150 | Kept Games: 3\73 | Game Took: 00:00:01 | Page: Took: 00:00:07 | Total Elapsed: 00:01:50
Page: 8/15 | Game: 74/150 | Kept Games: 3\74 | Game Took: 00:00:00 | Page: Took: 00:00:07 | Total Elapsed: 00:01:51
Page: 8/15 | Game: 75/150 | Kept Games: 4\75 | Game Took: 00:00:01 | Page: Took: 00:00:09 | Total Elapsed: 00:01:52
Page: 8/15 | Game: 76/150 | Kept Games: 5\76 | Game Took: 00:00:01 | Page: Took: 00:00:10 | Total Elapsed: 00:01:54
Page: 8/15 | Game: 77/150 | Kept Games: 5\77 | Game Took: 00:00:00 | Page: Took: 00:00:11 | Total Elapsed: 00:01:55
Page: 8/15 | Game: 78/150 | Kept Games: 5\78 | Game Took: 00:00:00 | Page: Took: 00:00:12 | Total Elapsed: 00:01:55
Page: 8/15 | Game: 79/150 | Kept Games: 5\79 | Game Took: 00:00:00 | Page: Took: 00:00:13 | Total Elapsed: 00:01:56
Page: 8/15 | Game: 80/150 | Kept Games: 5\80 | Game Took: 00:00:00 | Page: Took: 00:00:14 | Total Elapsed: 00:01:57
Page: 9/15 | Game: 81/150 | Kept Games: 6\81 | Game Took: 00:00:01 | Page: Took: 00:00:04 | Total Elapsed: 00:02:02
Page: 9/15 | Game: 82/150 | Kept Games: 6\82 | Game Took: 00:00:01 | Page: Took: 00:00:06 | Total Elapsed: 00:02:03
Page: 9/15 | Game: 83/150 | Kept Games: 7\83 | Game Took: 00:00:01 | Page: Took: 00:00:08 | Total Elapsed: 00:02:05
Page: 9/15 | Game: 84/150 | Kept Games: 7\84 | Game Took: 00:00:00 | Page: Took: 00:00:08 | Total Elapsed: 00:02:06
Page: 9/15 | Game: 85/150 | Kept Games: 7\85 | Game Took: 00:00:01 | Page: Took: 00:00:10 | Total Elapsed: 00:02:07
